ils_unit_id,scope,unit,source,confirmed_on,note
1455047,SF175,Upper,proposed: matched on unit id,,"SF175 - 3 Bedroom, 2.5 Bathroom Upper Suite | Spruce Grove | SF175"
1455047,SF175,Upper,proposed: matched on unit id,,"SF175 - 3 Bedroom, 2.5 Bathroom Upper Suite | Spruce Grove | SF175"
1455047,SF175,Upper,proposed: matched on unit id,,"SF175 - 3 Bedroom, 2.5 Bathroom Upper Suite | Spruce Grove | SF175"
1455040,SF180,330,proposed: matched on unit id,,SF180 - 3 Bedroom Townhouse in Ambleton Street NW -
1477443,SF182,225,proposed: matched on unit id,,SF182 | 1 MONTH FREE | Modern 3 Bedroom Townhome in Redstone
1556299,SF202,11211 - Bsmt,proposed: matched on unit id,,"SF202 - 3 Bed/1 Bath Suite – 11213 51 St NW,  Beacon Heights | 1 Month Free"
1455097,SF202,11211 - Main,proposed: matched on unit id,,"SF202 – 4 Bedroom, 2 Bathroom Main Floor Home in the Highlands"
1455097,SF202,11213 - Main,proposed: matched on unit id,,"SF202 – 4 Bedroom, 2 Bathroom Main Floor Home in the Highlands"
1556299,SF202,11213 Bsmt,proposed: matched on unit id,,"SF202 - 3 Bed/1 Bath Suite – 11213 51 St NW,  Beacon Heights | 1 Month Free"
1537755,SF203,10509 Main,proposed: matched on unit id,,SF203 – Westwood Duplex for Rent | 4-Bed Main Floor 10509 122 Ave 12148 105 St N
1556315,SF205,6319 - Bsmt,proposed: matched on unit id,,"SF205 - 4 Bedroom, 2.5 Bathroom Main Floor Home in Montrose"
1556315,SF205,6319 - Garage,proposed: matched on unit id,,"SF205 - 4 Bedroom, 2.5 Bathroom Main Floor Home in Montrose"
1556315,SF205,6319 Main,proposed: matched on unit id,,"SF205 - 4 Bedroom, 2.5 Bathroom Main Floor Home in Montrose"
1481233,SF206,Upper G1,proposed: matched on unit id,,SF206 | 2 Bedroom Upper Suite – Great Value | North Edmonton
